year,NAME,GEO_ID,S1901_C01_012E,income_source
2016,"Alameda County, California",0500000US06001,89979,1yr
2022,"Riverside County, California",0500000US06065,86748,1yr
2022,"Placer County, California",0500000US06061,105445,1yr
2022,"Orange County, California",0500000US06059,106209,1yr
2022,"Nevada County, California",0500000US06057,78401,1yr
2022,"Napa County, California",0500000US06055,100318,1yr
2022,"Monterey County, California",0500000US06053,92840,1yr
2022,"Merced County, California",0500000US06047,66164,1yr
2022,"Sacramento County, California",0500000US06067,84211,1yr
2022,"Mendocino County, California",0500000US06045,65520,1yr
2022,"Madera County, California",0500000US06039,76920,1yr
2022,"Los Angeles County, California",0500000US06037,82516,1yr
2022,"Lake County, California",0500000US06033,51259,1yr
2022,"Kings County, California",0500000US06031,64368,1yr
2022,"Kern County, California",0500000US06029,66234,1yr
2022,"Imperial County, California",0500000US06025,57310,1yr
2022,"Humboldt County, California",0500000US06023,57883,1yr
2022,"Marin County, California",0500000US06041,136214,1yr
2022,"San Benito County, California",0500000US06069,111544,1yr
2022,"San Bernardino County, California",0500000US06071,79091,1yr
2022,"San Diego County, California",0500000US06073,98928,1yr
2022,"Yuba County, California",0500000US06115,65052,1yr
2022,"Yolo County, California",0500000US06113,83875,1yr
2022,"Ventura County, California",0500000US06111,102569,1yr
2022,"Tulare County, California",0500000US06107,64722,1yr
2022,"Tehama County, California",0500000US06103,58884,1yr
2022,"Sutter County, California",0500000US06101,65018,1yr
2022,"Stanislaus County, California",0500000US06099,75886,1yr
2022,"Sonoma County, California",0500000US06097,96830,1yr
2022,"Solano County, California",0500000US06095,92959,1yr
2022,"Shasta County, California",0500000US06089,68276,1yr
2022,"Santa Cruz County, California",0500000US06087,102146,1yr
2022,"Santa Clara County, California",0500000US06085,150839,1yr
2022,"Santa Barbara County, California",0500000US06083,90894,1yr
2022,"San Mateo County, California",0500000US06081,145388,1yr
2022,"San Luis Obispo County, California",0500000US06079,90216,1yr
2022,"San Joaquin County, California",0500000US06077,86056,1yr
2022,"San Francisco County, California",0500000US06075,136692,1yr
2022,"Fresno County, California",0500000US06019,69571,1yr
2023,"Butte County, California",0500000US06007,63222,1yr
2022,"El Dorado County, California",0500000US06017,105982,1yr
2022,"Butte County, California",0500000US06007,64426,1yr
2021,"Sacramento County, California",0500000US06067,80063,1yr
