fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year
6001.0,Alameda,4885.7,3.3,3786.0,14.3,7.2431443196,2016
6003.0,Alpine,,4.1,,28.2,,2016
6005.0,Amador,5775.7,3.5,3607.0,18.6,6.3136456212,2016
6007.0,Butte,7436.8,4.2,4629.0,24.3,5.8106294849,2016
6009.0,Calaveras,7536.8,3.5,3547.9999999999995,20.6,4.8275862069,2016
6011.0,Colusa,6254.6,4.0,5406.0,19.9,6.0478790424,2016
6013.0,Contra Costa,4880.3,3.5,3729.0,13.8,6.7377903141,2016
6015.0,Del Norte,8718.8,4.0,5867.0,31.0,4.8927038627,2016
6017.0,El Dorado,5110.9,3.4,3285.0,13.1,6.2724014337,2016
6019.0,Fresno,6902.6,4.2,4765.0,38.0,7.613530116,2016
6021.0,Glenn,7233.5,4.1,5100.0,23.7,5.8521560575,2016
6023.0,Humboldt,8433.9,4.1,3329.0,23.9,5.4678796881,2016
6025.0,Imperial,5244.5,4.2,4811.0,31.3,5.8255095031,2016
6027.0,Inyo,5560.3,3.8,2354.0,20.2,8.4039087948,2016
6029.0,Kern,7492.2,4.0,5870.0,32.9,7.1238284136,2016
6031.0,Kings,6348.7,4.0,6309.0,33.8,6.3801358423,2016
6033.0,Lake,10644.8,4.2,4981.0,32.3,6.060011767,2016
6035.0,Lassen,6744.1,3.6,5485.0,20.3,6.9170865781,2016
6037.0,Los Angeles,5009.3,3.6,4903.0,26.7,7.1892676485,2016
6039.0,Madera,6855.2,4.2,4979.0,30.7,6.3939071909,2016
6041.0,Marin,3621.6,3.2,2707.0,10.1,6.2306190421,2016
6043.0,Mariposa,7495.3,3.7,3501.0,25.0,6.1023622047,2016
6045.0,Mendocino,7596.3,4.2,3099.0,26.2,5.868605557,2016
6047.0,Merced,6723.5,4.1,5052.0,35.9,6.6301423791,2016
6049.0,Modoc,10229.1,4.2,5002.0,31.3,6.8857589984,2016
6051.0,Mono,3724.6,3.6,3313.0000000000005,16.2,7.9439252336,2016
6053.0,Monterey,5044.2,3.8,3377.0000000000005,25.2,5.7292093404,2016
6055.0,Napa,4729.2,3.4,3832.0,12.0,6.1006748131,2016
6057.0,Nevada,6140.0,3.5,3542.0,17.6,5.7112638815,2016
6059.0,Orange,4153.2,3.3,3457.0,17.9,6.4525734951,2016
6061.0,Placer,4923.8,3.5,2932.0,9.7,5.7495630183,2016
6063.0,Plumas,8755.7,3.9,5312.0,21.6,6.1485909479,2016
6065.0,Riverside,5589.4,4.0,4397.0,23.5,6.5465312952,2016
6067.0,Sacramento,6292.8,3.8,3574.0,23.8,6.7781788672,2016
6069.0,San Benito,5053.8,3.6,5305.0,19.8,6.3597707524,2016
6071.0,San Bernardino,6445.1,3.8,5235.0,28.2,7.1758173526,2016
6073.0,San Diego,4871.3,3.6,3579.0,18.9,6.5681642579,2016
6075.0,San Francisco,4930.1,3.1,3497.9999999999995,13.6,7.0891823618,2016
6077.0,San Joaquin,6986.4,3.8,4752.0,27.5,7.0037130711,2016
6079.0,San Luis Obispo,5411.1,3.6,2656.0,15.6,5.872982158,2016
6081.0,San Mateo,3676.1,3.0,2687.0,9.8,6.6988939711,2016
6083.0,Santa Barbara,4806.6,3.6,2863.0,22.6,6.0221565376,2016
6085.0,Santa Clara,3721.1,2.9,3099.0,9.3,6.8502408265,2016
6087.0,Santa Cruz,5148.6,3.7,3133.0,19.1,5.8162503841,2016
6089.0,Shasta,8959.7,4.0,4043.0,20.3,6.1371113946,2016
6091.0,Sierra,,3.8,2136.0,19.0,6.4516129032,2016
6093.0,Siskiyou,9151.9,4.1,4013.0000000000005,30.3,7.4599818786,2016
6095.0,Solano,6195.5,3.6,3365.0,16.5,6.9222947661,2016
6097.0,Sonoma,4736.8,3.6,2608.0,13.6,5.7087758229,2016
6099.0,Stanislaus,7103.8,4.1,5881.0,23.8,6.3041188338,2016
6101.0,Sutter,6480.7,3.8,4674.0,20.8,5.8065856445,2016
6103.0,Tehama,7547.7,4.0,4143.0,26.7,5.7063197026,2016
6105.0,Trinity,10280.4,4.1,5923.0,31.7,5.6580565806,2016
6107.0,Tulare,6949.5,4.4,5188.0,36.7,6.2323986776,2016
6109.0,Tuolumne,6589.3,3.7,2648.0,20.5,4.4836116265,2016
6111.0,Ventura,4776.5,3.3,3690.0,15.8,6.3261797109,2016
6113.0,Yolo,5087.6,3.7,2164.0,17.5,5.5060123123,2016
6115.0,Yuba,7894.4,4.0,6398.0,28.6,6.015037594,2016
6001.0,Alameda,4767.5,3.1999784107,3313.0000000000005,13.8,7.2297013346,2017
6003.0,Alpine,,4.3099873055,,35.7,,2017
6005.0,Amador,6117.9,3.5315961938,3278.0,19.5,6.4285714286,2017
6007.0,Butte,7438.0,4.1000533486,3901.0,23.8,5.8307503363,2017
6009.0,Calaveras,7209.5,3.708436763,3436.0,21.2,5.3002070393,2017
6011.0,Colusa,5432.4,3.9139527353,5301.0,19.4,6.4035087719,2017
6013.0,Contra Costa,4712.1,3.4589076525,3376.0,12.7,6.7498907971,2017
6015.0,Del Norte,8297.8,4.1168472991,4874.0,33.8,5.137135394,2017
6017.0,El Dorado,5220.8,3.5024310858,3221.0,11.6,6.2860136197,2017
6019.0,Fresno,6895.5,4.03541281,4289.0,36.3,7.7038217971,2017
6021.0,Glenn,6667.4,4.0753887738,4983.0,25.7,6.0950413223,2017
6023.0,Humboldt,8768.6,4.1878659549,3213.0000000000005,23.0,5.4976036087,2017
6025.0,Imperial,5550.5,4.1267244074,3768.0,31.4,5.7629129403,2017
6027.0,Inyo,6743.0,3.8259934387,2322.0,19.9,8.4680025856,2017
6029.0,Kern,7474.9,4.1141239922,5283.0,31.3,7.0853367157,2017
6031.0,Kings,6280.3,4.0340617144,4922.0,28.4,6.3491158015,2017
6033.0,Lake,10636.6,4.3600162036,4473.0,30.2,6.3688026651,2017
6035.0,Lassen,6199.9,3.6154868059,6356.0,19.7,7.15903942,2017
6037.0,Los Angeles,4943.4,3.6954927058,4217.0,23.5,7.1246116672,2017
6039.0,Madera,6855.4,4.2692448611,4459.0,32.3,6.2864354829,2017
6041.0,Marin,3625.3,3.4432655223,2429.0,8.8,6.2312444837,2017
6043.0,Mariposa,8131.5,3.8432794227,4189.0,24.1,6.2252964427,2017
6045.0,Mendocino,8048.9,4.0825623079,3035.0,27.3,5.8877887789,2017
6047.0,Merced,6664.3,4.1654732669,4496.0,35.9,6.5879842635,2017
6049.0,Modoc,11461.3,4.1462185627,3979.9999999999995,31.1,6.6153846154,2017
6051.0,Mono,3666.3,3.6720773632,1788.0,17.3,7.7725118483,2017
6053.0,Monterey,4955.1,3.8100900187,2709.0,22.3,5.8378559604,2017
6055.0,Napa,4437.9,3.4189088202,3168.0,12.1,6.226800297,2017
6057.0,Nevada,6121.7,3.656990502,3283.0,16.4,5.4394046775,2017
6059.0,Orange,4118.2,3.4883656302,3027.0,16.8,6.4160830205,2017
6061.0,Placer,4665.6,3.4777015699,2835.0,9.0,5.6336431648,2017
6063.0,Plumas,8975.7,3.936686112,5329.0,22.5,6.7316209035,2017
6065.0,Riverside,5550.3,3.9084241258,3711.9999999999995,22.6,6.5267364468,2017
6067.0,Sacramento,6192.2,3.8851259101,3552.0000000000005,22.7,6.7955506592,2017
6069.0,San Benito,4905.5,3.6407777449,3670.0000000000005,14.0,6.088454911,2017
6071.0,San Bernardino,6498.8,4.0114789994,4475.0,27.3,7.1539339588,2017
6073.0,San Diego,4745.8,3.4110590689,3147.0,17.8,6.4956860589,2017
6075.0,San Francisco,4730.6,3.3011429395,3156.0,13.5,7.0105566219,2017
6077.0,San Joaquin,6995.4,3.7489783849,4232.0,23.7,7.0368590844,2017
6079.0,San Luis Obispo,5449.1,3.6996780089,2345.0,14.6,5.8027287925,2017
6081.0,San Mateo,3537.7,2.9893432461,2257.0,9.7,6.6966222498,2017
6083.0,Santa Barbara,4881.6,3.6506694117,2546.0,20.0,5.9922727383,2017
6085.0,Santa Clara,3660.7,3.0294733175,2767.0,9.0,6.8787713846,2017
6087.0,Santa Cruz,5213.4,3.6270412057,3003.0,17.6,5.7001795332,2017
6089.0,Shasta,8514.8,4.0255788626,3565.9999999999995,26.5,5.9405940594,2017
6091.0,Sierra,,3.89436374,3786.0,17.4,7.5342465753,2017
6093.0,Siskiyou,8974.3,4.1583560633,3353.0,31.4,7.4838312288,2017
6095.0,Solano,6338.8,3.4792433729,3154.0,15.8,6.8579197825,2017
6097.0,Sonoma,4690.1,3.5535546996,2592.0,14.0,5.6961514671,2017
6099.0,Stanislaus,7078.3,4.1063902833,4820.0,26.6,6.232973141,2017
6101.0,Sutter,6622.1,3.7707411296,4690.0,24.4,6.0978191827,2017
6103.0,Tehama,7473.0,4.1504665951,3790.0,32.1,5.6830803406,2017
6105.0,Trinity,10873.3,4.1777601548,5817.0,32.1,6.1957868649,2017
6107.0,Tulare,6922.3,4.3107092417,5032.0,36.3,6.3408049448,2017
6109.0,Tuolumne,6985.5,3.7584105917,2359.0,21.6,5.009334163,2017
6111.0,Ventura,4612.3,3.5046339418,3397.9999999999995,14.3,6.2928957479,2017
6113.0,Yolo,5210.6,3.7581665407,2012.0,16.8,5.5407441753,2017
6115.0,Yuba,7914.2,4.0905249779,5580.0,31.7,5.9048723898,2017
6001.0,Alameda,4660.0793548,3.3459090873,3461.9999999999995,12.4,7.2394256202,2018
6003.0,Alpine,,4.3640180342,,33.9,,2018
6005.0,Amador,6213.5108186,3.5951208757,3853.0,16.8,7.2398190045,2018
6007.0,Butte,7285.5304554,4.1478602515,4040.9999999999995,22.9,5.9578207381,2018
6009.0,Calaveras,7306.2014148,3.6839559469,2836.0,20.4,5.0509164969,2018
6011.0,Colusa,5746.5299587,3.8719486651,5371.0,15.5,6.5096952909,2018
6013.0,Contra Costa,4702.7530912,3.4033021657,3529.9999999999995,10.3,6.8384009663,2018
6015.0,Del Norte,8127.8842668,4.0769955833,3301.0,30.0,5.3097345133,2018
6017.0,El Dorado,5119.9236959,3.738504263,3440.0,10.0,6.4806480648,2018
6019.0,Fresno,6961.0063714,3.8931131154,4133.0,37.0,7.6800391478,2018
6021.0,Glenn,7335.7779208,4.0802796138,5613.0,23.2,6.2251176258,2018
6023.0,Humboldt,8952.8219231,4.279223942,2897.0,21.4,5.5933992133,2018
6025.0,Imperial,5655.2385912,4.1203659901,3352.0000000000005,32.9,5.5196005917,2018
6027.0,Inyo,6345.4262708,3.832014225,2509.0,18.8,7.5136612022,2018
6029.0,Kern,7592.548046,4.0812433519,5184.0,31.1,7.1404771761,2018
6031.0,Kings,5966.7521692,3.8405875034,4355.0,21.4,6.3791554358,2018
6033.0,Lake,11667.0154,4.3719859084,4171.0,29.9,6.4904780412,2018
6035.0,Lassen,6416.0018743,3.7436918331,6648.0,19.3,7.4814126394,2018
6037.0,Los Angeles,4946.1516978,3.6402303376,4169.0,23.4,7.1040754089,2018
6039.0,Madera,6592.1142681,4.2278677648,4470.0,30.3,6.3631343192,2018
6041.0,Marin,3447.6744813,3.2956834694,2369.0,8.5,5.9742647059,2018
6043.0,Mariposa,7338.7497819,3.8478157263,4708.0,27.6,6.4453125,2018
6045.0,Mendocino,8000.3013339,4.1472259486,2769.0,26.8,6.0211554109,2018
6047.0,Merced,6748.6621226,4.3295800847,5572.0,27.0,6.3701636778,2018
6049.0,Modoc,10390.745127,4.0824047516,3452.0000000000005,30.2,6.24,2018
6051.0,Mono,3933.4704666,3.6624087168,2659.0,14.8,7.1638861629,2018
6053.0,Monterey,5066.5515903,3.4901942953,2968.0,18.9,5.9181403868,2018
6055.0,Napa,4382.8514641,3.568570562,2950.0,9.7,5.8464223386,2018
6057.0,Nevada,5913.6125693,3.6390708806,3344.0,13.7,5.8231868714,2018
6059.0,Orange,4094.3629575,3.3479358683,3061.0,14.5,6.3563525946,2018
6061.0,Placer,4740.8561038,3.4100916984,3059.0,7.6,5.6592206598,2018
6063.0,Plumas,9548.6050922,3.9158940134,4720.0,22.6,8.3557951482,2018
6065.0,Riverside,5587.4210996,3.5608008416,3858.0,20.9,6.5665723977,2018
6067.0,Sacramento,6240.3360832,3.8495857001,3708.0,23.1,6.8393797415,2018
6069.0,San Benito,4752.1158624,3.5386356399,4691.0,14.6,6.351981352,2018
6071.0,San Bernardino,6562.4666813,3.9313351668,4644.0,25.7,7.2135207714,2018
6073.0,San Diego,4658.1893905,3.6547747517,2971.0,16.4,6.4767066668,2018
6075.0,San Francisco,4568.8082733,3.2302780125,3194.0,11.3,6.9970147348,2018
6077.0,San Joaquin,7156.0309739,4.0001332864,4477.0,19.1,7.1466696632,2018
6079.0,San Luis Obispo,5326.4225449,3.7104546616,2373.0,11.1,5.8641640447,2018
6081.0,San Mateo,3552.4944375,2.9481156081,2189.0,7.7,6.854074542,2018
