fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year,median_home_value,median_household_income,income_source,median_multiple
06001,Alameda,4885.7,3.3,3786.0,14.3,7.2431443196,2016,727366.1375710167,89979,1yr,8.083732177185974
06003,Alpine,,4.1,,28.2,,2016,354178.3727216045,62375,5yr,5.6782103843143
06005,Amador,5775.7,3.5,3607.0,18.6,6.3136456212,2016,283142.89372977486,57032,5yr,4.96463202640228
06007,Butte,7436.8,4.2,4629.0,24.3,5.8106294849,2016,259383.08824574927,45177,1yr,5.741485451573793
06009,Calaveras,7536.8,3.5,3547.9999999999995,20.6,4.8275862069,2016,274860.94637772127,53502,5yr,5.137395730584301
06011,Colusa,6254.6,4.0,5406.0,19.9,6.0478790424,2016,208697.3285680609,54946,5yr,3.7982260504506407
06013,Contra Costa,4880.3,3.5,3729.0,13.8,6.7377903141,2016,544543.2690577001,91045,1yr,5.981034313336263
06015,Del Norte,8718.8,4.0,5867.0,31.0,4.8927038627,2016,216599.53317034975,42363,5yr,5.11294132073625
06017,El Dorado,5110.9,3.4,3285.0,13.1,6.2724014337,2016,421631.96889048495,75772,1yr,5.564482511884139
06019,Fresno,6902.6,4.2,4765.0,38.0,7.613530116,2016,219915.9345625059,48715,1yr,4.514337156163521
06021,Glenn,7233.5,4.1,5100.0,23.7,5.8521560575,2016,201576.63984395462,41699,5yr,4.834088103886295
06023,Humboldt,8433.9,4.1,3329.0,23.9,5.4678796881,2016,338747.12214317865,43130,1yr,7.854095111133287
06025,Imperial,5244.5,4.2,4811.0,31.3,5.8255095031,2016,196279.9163021384,49095,1yr,3.997961427887532
06027,Inyo,5560.3,3.8,2354.0,20.2,8.4039087948,2016,291722.4842721991,47278,5yr,6.170364318968635
06029,Kern,7492.2,4.0,5870.0,32.9,7.1238284136,2016,195143.7690394981,49903,1yr,3.9104616764422597
06031,Kings,6348.7,4.0,6309.0,33.8,6.3801358423,2016,189851.76302612165,53234,1yr,3.566362907655289
06033,Lake,10644.8,4.2,4981.0,32.3,6.060011767,2016,204519.08001629505,42029,1yr,4.866141949993934
06035,Lassen,6744.1,3.6,5485.0,20.3,6.9170865781,2016,146905.8553204362,51457,5yr,2.854924603463789
06037,Los Angeles,5009.3,3.6,4903.0,26.7,7.1892676485,2016,501369.08806549973,61338,1yr,8.173874075866506
06039,Madera,6855.2,4.2,4979.0,30.7,6.3939071909,2016,216181.16124897226,51657,1yr,4.184934495788998
06041,Marin,3621.6,3.2,2707.0,10.1,6.2306190421,2016,998023.1636375171,103845,1yr,9.61070021317846
06043,Mariposa,7495.3,3.7,3501.0,25.0,6.1023622047,2016,275683.89472155465,49265,5yr,5.595938185761791
06045,Mendocino,7596.3,4.2,3099.0,26.2,5.868605557,2016,407509.5585849055,43809,1yr,9.301959838957874
06047,Merced,6723.5,4.1,5052.0,35.9,6.6301423791,2016,219854.87381839287,47739,1yr,4.605351469833739
06049,Modoc,10229.1,4.2,5002.0,31.3,6.8857589984,2016,111496.19369235229,41194,5yr,2.7066124603668564
06051,Mono,3724.6,3.6,3313.0000000000005,16.2,7.9439252336,2016,367499.3832640054,58937,5yr,6.235461310619907
