FIPS,RegionName,year,median_home_value
06037,Los Angeles County,2016,501369.08806549973
06073,San Diego County,2016,519967.48065094417
06059,Orange County,2016,612052.1281151507
06065,Riverside County,2016,330119.8985670742
06071,San Bernardino County,2016,279483.5810143932
06085,Santa Clara County,2016,934320.8405239208
06001,Alameda County,2016,727366.1375710167
06067,Sacramento County,2016,319358.3414540367
06013,Contra Costa County,2016,544543.2690577001
06019,Fresno County,2016,219915.9345625059
06029,Kern County,2016,195143.7690394981
06075,San Francisco County,2016,1169092.1814874539
06111,Ventura County,2016,555862.3688685974
06077,San Joaquin County,2016,313668.00420710194
06081,San Mateo County,2016,1113401.509762809
06099,Stanislaus County,2016,259427.0110718013
06097,Sonoma County,2016,570703.8261132801
06107,Tulare County,2016,187924.35579118994
06095,Solano County,2016,371879.14740224445
06083,Santa Barbara County,2016,554716.7603827169
06053,Monterey County,2016,494514.40120564523
06061,Placer County,2016,435682.57082047657
06079,San Luis Obispo County,2016,519922.2849938103
06047,Merced County,2016,219854.87381839287
06087,Santa Cruz County,2016,711206.8804447656
06041,Marin County,2016,998023.1636375171
06007,Butte County,2016,259383.08824574927
06113,Yolo County,2016,395093.72201560746
06017,El Dorado County,2016,421631.96889048495
06089,Shasta County,2016,231327.34876228412
06025,Imperial County,2016,196279.9163021384
06039,Madera County,2016,216181.16124897226
06031,Kings County,2016,189851.76302612165
06055,Napa County,2016,618134.1287298354
06023,Humboldt County,2016,338747.12214317865
06057,Nevada County,2016,403134.948071495
06101,Sutter County,2016,241022.0294592194
06045,Mendocino County,2016,407509.5585849055
06115,Yuba County,2016,226296.4410289332
06033,Lake County,2016,204519.08001629505
06103,Tehama County,2016,186253.58891521042
06069,San Benito County,2016,536494.7431551674
06109,Tuolumne County,2016,286324.77030802524
06009,Calaveras County,2016,274860.94637772127
06093,Siskiyou County,2016,174013.20389339144
06005,Amador County,2016,283142.89372977486
06035,Lassen County,2016,146905.8553204362
06021,Glenn County,2016,201576.63984395462
06015,Del Norte County,2016,216599.53317034975
06011,Colusa County,2016,208697.3285680609
06063,Plumas County,2016,225199.93862576818
06027,Inyo County,2016,291722.4842721991
06043,Mariposa County,2016,275683.89472155465
06105,Trinity County,2016,225754.5246335269
06051,Mono County,2016,367499.3832640054
06049,Modoc County,2016,111496.19369235229
06091,Sierra County,2016,174645.3488608736
06003,Alpine County,2016,354178.3727216045
06037,Los Angeles County,2017,544805.4850212884
06073,San Diego County,2017,558221.7635615851
06059,Orange County,2017,665192.0982923089
06065,Riverside County,2017,349899.49559654325
06071,San Bernardino County,2017,307777.60860504524
06085,Santa Clara County,2017,963104.5423373488
06001,Alameda County,2017,776411.9067346147
06067,Sacramento County,2017,348812.8254290067
06013,Contra Costa County,2017,581602.9751360649
06019,Fresno County,2017,237390.1086430907
06029,Kern County,2017,204425.44381150565
06075,San Francisco County,2017,1203538.9472762507
06111,Ventura County,2017,587789.3617124966
06077,San Joaquin County,2017,345111.3748217079
06081,San Mateo County,2017,1181231.4368793992
06099,Stanislaus County,2017,282365.57196637924
06097,Sonoma County,2017,609031.2450122024
06107,Tulare County,2017,207594.29126609743
06095,Solano County,2017,404429.7599434464
06083,Santa Barbara County,2017,575674.0809884797
06053,Monterey County,2017,531637.3910764169
06061,Placer County,2017,464050.34762645635
06079,San Luis Obispo County,2017,573698.6113805766
06047,Merced County,2017,242921.9771318587
06087,Santa Cruz County,2017,759633.3443572557
06041,Marin County,2017,1043969.7866709552
06007,Butte County,2017,279283.84568602336
06113,Yolo County,2017,432274.25416015787
06017,El Dorado County,2017,452863.9282173354
06089,Shasta County,2017,245786.3789411144
06025,Imperial County,2017,208947.16769669703
06039,Madera County,2017,232489.54159886003
06031,Kings County,2017,208322.89455364726
06055,Napa County,2017,658990.235593277
06023,Humboldt County,2017,367940.43309445004
06057,Nevada County,2017,433749.51445688476
06101,Sutter County,2017,268522.1449348539
06045,Mendocino County,2017,444494.2098445994
06115,Yuba County,2017,251490.93635236632
06033,Lake County,2017,226303.40181317294
06103,Tehama County,2017,197984.50880476137
06069,San Benito County,2017,569055.4977005746
06109,Tuolumne County,2017,294233.13229163206
06009,Calaveras County,2017,296846.95001917885
06093,Siskiyou County,2017,185764.5631521585
06005,Amador County,2017,307631.280955333
06035,Lassen County,2017,160401.78486550823
06021,Glenn County,2017,218346.59251168187
06015,Del Norte County,2017,234723.46917237414
06011,Colusa County,2017,225670.01231137724
06063,Plumas County,2017,240083.77613067706
06027,Inyo County,2017,314898.5787147604
06043,Mariposa County,2017,295365.4738650275
06105,Trinity County,2017,246383.5228901547
06051,Mono County,2017,388517.86572850053
06049,Modoc County,2017,118761.74885828211
06091,Sierra County,2017,191933.8752676414
06003,Alpine County,2017,357583.22037708363
06037,Los Angeles County,2018,607645.7310096872
06073,San Diego County,2018,593281.6230137177
06059,Orange County,2018,717877.460247126
06065,Riverside County,2018,381693.66111715796
06071,San Bernardino County,2018,345069.22812876344
06085,Santa Clara County,2018,1188165.7101587004
06001,Alameda County,2018,866795.5120121376
06067,Sacramento County,2018,378297.88760884706
06013,Contra Costa County,2018,626623.5780092406
06019,Fresno County,2018,259415.6863706653
06029,Kern County,2018,217916.691954979
06075,San Francisco County,2018,1316706.5600855432
06111,Ventura County,2018,618417.8337427091
06077,San Joaquin County,2018,378227.43185838097
06081,San Mateo County,2018,1345782.9597976585
06099,Stanislaus County,2018,307818.45844125137
06097,Sonoma County,2018,668011.543300455
06107,Tulare County,2018,222390.4087829343
06095,Solano County,2018,440651.61164116923
06083,Santa Barbara County,2018,598191.7079702796
06053,Monterey County,2018,565416.8628135152
06061,Placer County,2018,493129.14034600835
06079,San Luis Obispo County,2018,605724.0257619842
06047,Merced County,2018,266639.23548048775
06087,Santa Cruz County,2018,820395.372989467
06041,Marin County,2018,1118395.868521859
