"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US06","California","13797638","19379","4.6","0.1","3.0","0.1","5.0","0.1","4.9","0.1","7.9","0.1","13.1","0.2","11.4","0.2","17.9","0.2","11.2","0.2","21.0","0.2","100149","381","140112","691","39.1","(X)","(X)","(X)","(X)","(X)","9297773","37513","2.9","0.1","1.6","0.1","3.6","0.1","4.2","0.1","7.2","0.2","12.6","0.2","11.5","0.2","19.2","0.2","12.5","0.2","24.8","0.2","113969","828","157192","881","(X)","(X)","41.6","(X)","(X)","(X)","6599228","37735","1.5","0.1","0.9","0.1","2.5","0.1","2.9","0.1","5.4","0.2","10.4","0.3","10.6","0.2","20.0","0.3","14.5","0.2","31.4","0.3","138170","935","183563","997","(X)","(X)","(X)","(X)","(X)","(X)","4499865","32035","9.1","0.3","6.2","0.2","8.4","0.3","7.3","0.2","10.4","0.3","14.9","0.3","11.1","0.3","14.4","0.3","7.3","0.2","11.0","0.3","63280","844","95264","983","(X)","(X)","(X)","(X)","32.1","(X)",
"0500000US01003","Baldwin County, Alabama","105959","3520","3.3","1.1","3.8","1.3","6.2","1.5","7.6","1.8","9.5","1.7","14.7","2.2","15.4","2.4","19.5","2.8","7.9","1.6","11.9","2.2","82501","5205","105861","6708","37.7","(X)","(X)","(X)","(X)","(X)","72891","4060","1.2","0.7","2.2","1.4","3.4","1.7","5.5","1.8","7.9","1.9","14.5","2.3","16.3","2.8","23.4","3.3","10.3","2.0","15.1","2.9","97123","7676","123941","8692","(X)","(X)","38.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","104253","5883","N","N","(X)","(X)","(X)","(X)","(X)","(X)","33068","3273","8.0","3.2","7.4","2.9","12.4","4.1","12.5","4.1","14.2","3.8","18.1","5.0","11.4","4.2","9.3","3.2","2.4","2.3","4.3","2.7","44007","6639","63256","9276","(X)","(X)","(X)","(X)","34.7","(X)",
"0500000US01015","Calhoun County, Alabama","44348","1757","6.6","1.8","4.8","1.2","9.9","2.6","9.7","2.4","15.0","3.0","19.4","2.9","11.6","2.5","14.6","2.4","4.4","1.3","4.0","1.4","52719","2868","72012","4890","38.9","(X)","(X)","(X)","(X)","(X)","29688","1834","6.0","3.1","3.5","1.6","7.2","3.4","4.6","1.9","13.9","3.6","20.0","3.7","15.1","3.6","18.0","3.4","6.0","1.9","5.7","2.2","68531","10272","85294","7114","(X)","(X)","40.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88715","7356","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14660","1645","11.6","3.2","7.5","2.6","15.3","4.1","19.0","4.9","15.7","4.7","18.9","4.9","5.2","2.2","5.0","2.6","1.4","1.3","0.3","0.4","33018","3052","41519","3853","(X)","(X)","(X)","(X)","34.2","(X)",
"0500000US01043","Cullman County, Alabama","35600","1411","4.9","2.1","4.1","1.8","7.6","2.4","9.3","3.0","14.6","3.2","15.8","3.3","11.6","2.7","18.3","4.4","7.2","2.6","6.7","2.2","62876","8817","89860","9482","40.2","(X)","(X)","(X)","(X)","(X)","26010","1854","3.2","1.9","3.5","1.8","5.0","2.5","9.3","3.7","10.4","3.5","16.0","4.4","13.2","3.3","22.3","4.9","9.1","3.3","8.0","2.9","78625","6408","103369","12617","(X)","(X)","40.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","92935","13370","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9590","1486","10.3","6.1","9.4","5.3","16.3","5.4","9.0","4.1","27.7","7.8","10.7","3.7","4.7","3.0","6.8","5.8","1.9","1.8","3.2","2.9","36077","2458","49381","8222","(X)","(X)","(X)","(X)","38.1","(X)",
"0500000US01049","DeKalb County, Alabama","26552","1280","7.2","2.9","6.7","2.7","12.0","3.3","8.5","2.8","12.3","3.0","18.3","3.9","13.2","3.4","11.3","2.6","4.5","2.1","6.1","2.1","52763","4924","80125","10692","42.7","(X)","(X)","(X)","(X)","(X)","17780","1596","4.6","2.6","1.8","1.2","8.5","3.8","6.6","2.7","12.5","3.7","20.8","4.4","15.8","3.8","15.3","3.6","5.5","2.6","8.7","3.1","66437","6916","100621","15788","(X)","(X)","42.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77890","6970","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8772","1566","12.9","6.6","16.8","7.1","23.0","7.4","12.3","5.9","12.4","5.3","10.0","4.2","7.3","6.6","2.3","2.8","2.5","3.1","0.5","0.9","23877","4382","35243","6910","(X)","(X)","(X)","(X)","43.6","(X)",
"0500000US01051","Elmore County, Alabama","34127","1299","4.0","2.1","2.6","1.8","8.5","3.4","5.4","2.2","12.2","3.1","14.1","4.0","14.4","3.9","19.4","3.4","10.6","3.4","8.7","2.7","81846","8903","100358","8810","31.7","(X)","(X)","(X)","(X)","(X)","24607","1586","2.4","1.8","1.2","1.3","6.1","3.1","3.7","2.1","9.7","3.8","13.4","4.3","13.8","3.8","23.8","4.5","14.2","4.3","11.6","3.7","96764","11430","118714","11670","(X)","(X)","32.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","120551","15266","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9520","1442","9.4","5.3","6.4","5.4","14.9","6.8","9.7","5.3","19.9","6.7","19.5","7.1","11.4","7.2","6.5","4.0","1.1","1.5","1.1","1.4","40508","3946","48949","6406","(X)","(X)","(X)","(X)","30.8","(X)",
"0500000US01055","Etowah County, Alabama","41085","1526","6.4","1.9","8.2","2.5","9.5","2.5","7.8","2.3","12.6","2.5","17.2","3.1","13.0","3.0","16.0","3.6","6.1","2.0","3.3","1.5","57959","6411","73301","5812","41.8","(X)","(X)","(X)","(X)","(X)","28116","1954","2.8","1.6","5.4","2.8","5.3","2.7","6.6","2.5","12.8","3.1","17.6","3.7","16.5","4.2","20.3","4.2","8.2","2.7","4.6","2.2","74547","5127","87980","7458","(X)","(X)","43.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90990","6552","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12969","1657","17.0","5.6","15.0","5.9","17.6","5.9","10.3","4.9","13.7","4.5","15.4","5.4","4.4","2.6","6.0","4.2","0.7","0.9","0.1","0.1","26526","7818","36803","5368","(X)","(X)","(X)","(X)","37.8","(X)",
"0500000US01069","Houston County, Alabama","45336","847","6.6","1.2","5.2","1.1","9.1","1.6","8.7","1.5","14.4","1.8","16.0","1.7","12.7","1.8","14.1","1.8","6.9","1.3","6.2","1.3","57912","3787","80795","4443","40.2","(X)","(X)","(X)","(X)","(X)","28833","1192","5.0","1.6","2.5","1.1","5.4","1.8","6.2","2.0","13.4","2.8","16.9","2.2","14.6","2.4","18.1","2.5","9.1","1.5","8.9","1.9","75515","3142","98286","6157","(X)","(X)","42.3","(X)","(X)","(X)","20042","1246","1.1","0.7","1.0","0.7","3.6","1.8","4.1","1.7","9.8","2.3","16.1","2.4","16.6","2.9","22.9","3.1","12.6","2.2","12.1","2.5","94074","6457","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16503","1182","10.3","2.6","10.1","2.6","15.5","3.7","13.3","2.8","17.3","3.0","13.6","2.9","9.0","3.0","6.7","2.1","2.7","2.3","1.6","1.0","35590","4058","48805","4946","(X)","(X)","(X)","(X)","35.1","(X)",
"0500000US01073","Jefferson County, Alabama","272685","3295","6.2","1.1","3.9","0.6","6.4","1.0","8.8","0.9","11.7","1.2","16.0","1.4","12.7","1.3","15.4","1.3","8.0","0.9","11.0","1.0","69363","2678","99630","3770","33.8","(X)","(X)","(X)","(X)","(X)","166513","5339","3.4","0.9","1.8","0.6","4.5","0.9","6.1","1.2","10.0","1.4","14.2","1.9","13.8","1.5","18.8","1.7","11.1","1.2","16.2","1.6","91767","4471","125325","5658","(X)","(X)","35.7","(X)","(X)","(X)","108690","4222","1.7","0.8","1.1","0.6","1.6","0.7","3.3","0.9","5.9","1.4","12.0","1.9","12.7","1.6","23.2","2.3","15.3","1.7","23.2","2.2","122847","4918","157452","7893","(X)","(X)","(X)","(X)","(X)","(X)","106172","4989","10.8","2.1","7.3","1.4","9.9","1.9","13.2","2.0","15.3","2.0","19.8","2.2","10.0","1.7","8.8","1.6","2.8","1.2","2.2","0.9","42731","2335","56323","4166","(X)","(X)","(X)","(X)","30.4","(X)",
